0LNB.SG	XBT Bitcoin Tracker Euro
XEWG.L	Xtrackers S&P 500 Equal Weight UCITS ETF
XLBP.L	Invesco Materials S&P US Select Sector UCITS ETF
XLCP.L	Invesco Communications S&P US Select Sector UCITS ETF
XLEP.L	Invesco Energy S&P US Select Sector UCITS ETF
XLFQ.L	Invesco Markets plc - Invesco Financial S&P US Select Sector UCITS ETF
XLIP.L	Invesco Industrials S&P US Select Sector UCITS ETF
XLKQ.L	Invesco Technology S&P US Select Sector UCITS ETF
XLPP.L	Invesco Consumer Staples S&P US Select Sector UCITS ETF
XLUP.L	Invesco Utilities S&P US Select Sector UCITS ETF
XLVP.L	Invesco Health Care S&P US Select Sector UCITS ETF
XLYP.L	Invesco Consumer Discretionary S&P US Select Sector UCITS ETF
XMAW.L	Xtrackers MSCI AC World ESG Screened UCITS ETF
XMBR.L	Xtrackers MSCI Brazil UCITS ETF
XMCX.L	Xtrackers FTSE 250 UCITS ETF
XMEU.L	Xtrackers MSCI Europe UCITS ETF 1C
XMEX.L	Xtrackers MSCI Mexico UCITS ETF
XMID.L	Xtrackers MSCI Indonesia Swap UCITS ETF
XMMS.L	Xtrackers MSCI Emerging Markets UCITS ETF
XMWD.L	Xtrackers MSCI World Swap UCITS ETF
XREP.L	Source Markets plc - Source Real Estate S&P US Select Sector UCITS ETF
XRSG.L	Xtrackers Russell 2000 UCITS ETF
